Rank,NCTId,Condition,BriefTitle
1,NCT04383652,COVID,Collection of Coronavirus COVID-19 Outbreak Samples in New South Wales
2,NCT04461925,COVID-19 Pneumonia,Treatment of Coronavirus COVID-19 Pneumonia (Pathogen SARS-CoV-2) With Cryopreserved Allogeneic P_MMSCs and UC-MMSCs
3,NCT04404244,Coronavirus COVID-19,Extraordinary Measures for Egyptian Children With Hemato-Oncological Disorders During COVID-19 Pandemic
4,NCT04401644,Diagnoses Disease|Coronavirus,COVID-19: Laser Interferometry for Rapid Single Coronavirus Detection
5,NCT04379076,COVID-19|Lymphocytopenia,InterLeukin-7 (CYT107) to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection UK Cohort
6,NCT04407689,COVID-19|Lymphocytopenia,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection FR BL Cohort
7,NCT04475185,Acute Respiratory Distress Syndrome,Safety and Effectiveness Assessment of the MakAir Artificial Ventilator
8,NCT04426201,COVID-19|Lymphocytopenia,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic Patients With COVID-19 Infection ( ILIAD-7-US-O )
9,NCT04442178,COVID-19|Lymphocytopenia,InterLeukin-7 to Improve Clinical Outcomes in Lymphopenic pAtients With COVID-19 Infection ( ILIAD-7-US-I )
10,NCT04367662,COVID-19,Study of the Vascular Compartment and Hypercoagulability During Coronavirus Infection COVID-19
11,NCT04432948,Covid-19|Maternal Psychological Distress|Anesthesia,Maternal Psychological Implications of Covid-19 Pandemic and Possible Effect on Anaesthetic Management.
12,NCT04392778,Covid19|Pneumonia|Multiple Organ Failure|Corona Virus Infection,Clinical Use of Stem Cells for the Treatment of Covid-19
13,NCT04336761,Coronavirus|COVID|Infection Viral,Prevalence of Covid-19 in Children Admitted to Paediatric Emergency Departments During the Pandemic Period in France
14,NCT04361942,COVID-19 Pneumonia,Treatment of Severe COVID-19 Pneumonia With Allogeneic Mesenchymal Stromal Cells (COVID_MSV)
15,NCT04390269,Genetic Predisposition to Disease,Immunogenetics Predictors With COVID-19
16,NCT04500067,Covid19|Pneumonia,"Intravenous Immunoglobulin (IVIG, Bioven) Efficacy Assess for COVID-19 / SARS-CoV-2 Severe Pneumonia Complex Treatment"
17,NCT04503434,Patient Preference|COVID-19,Patients' Experiences in a Medicalized Hotel for COVID-19 Acute Care Support
18,NCT04540029,Prenatal Stress,Measuring Outcomes of Maternal COVID-19-related Prenatal Exposure
19,NCT04441684,SARS-CoV-2 Serological Status|SARS-CoV-2 Seroprevalence,"Seroprevalence of SARS-CoV-2 in Strasbourg University Hospital, Strasbourg, France (COVID-19)"
20,NCT04443270,COVID-19,Chloroquine Phosphate Prophylactic Use in Health Personnel Exposed to COVID-19 Patients
21,NCT04609774,Coronavirus Disease (COVID-19),Aerosol Transmission of Severe Acute Respiratory Syndrome Coronavirus of Coronavirus Disease 2019
22,NCT04389476,The Psychological Impact of COVID-19,The Impact and Coping Strategy of COVID-19 Among Taiwan Society and Medical and Nursing Institutes
23,NCT04388631,Coronavirus Disease 2019,Detection Rate of SARS-CoV-2 in Male Genitourinary System and Its Impact on Male Reproductive Health.
24,NCT04337489,Coronavirus,Remote Monitoring Use In Cases Of Suspected COVID-19 (Coronavirus)
25,NCT04292327,Pneumonia Caused by Human Coronavirus,Clinical Progressive Characteristics and Treatment Effects of 2019-novel Coronavirus
26,NCT04610567,Coronavirus|Inflammation|Covid19,Treatment of Patients With Mild Coronavirus-19 (COVID-19) Disease With Methotrexate Associated to LDL Like Nanoparticles (Nano-COVID19)
27,NCT04907981,Covid19,Eye Detection to Identify Novel Coronavirus Infection
28,NCT04323800,Coronavirus|Convalescence,Convalescent Plasma to Stem Coronavirus (CSSC-001)
29,NCT04438837,Coronavirus Disease 2019 (COVID-19)|Post-Exposure Prophylaxis,Hydroxychloroquine Post-Exposure Prophylaxis for Coronavirus Disease (COVID-19) Among Health-Care Workers
30,NCT04403906,COVID|SARS-CoV 2,Somerset and South Essex Coronavirus Antigen Testing
31,NCT04322682,Corona Virus Infection,Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA)
32,NCT04280913,Coronavirus Disease 2019,Clinical Outcomes of Patients With COVID19
33,NCT04424017,COVID|Corona Virus Infection,Sero-prevalence of Coronavirus Disease 2019 (COVID-19) in Healthcare Workers
34,NCT04346589,"Pneumonia, Ventilator-Associated|Coronavirus Infection",Convalescent Antibodies Infusion in Critically Ill COVID 19 Patients
35,NCT04308668,Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection|Coronavirus|Coronavirus Infections,Post-exposure Prophylaxis / Preemptive Therapy for SARS-Coronavirus-2
36,NCT04706416,Coronavirus|Covid19,N-Acetyl Glucosamine as Therapeutic Intervention for Coronavirus Disease-19 (COVID-19)
37,NCT04627467,Covid19,Prevention With Chloroquine in Health Personnel Exposed to Infection With Coronavirus Disease 2019 (COVID-19) (TS-COVID)
38,NCT04386109,Neonatal COVID-19 Disease,Neonatal Complications of Coronavirus Disease (COVID-19)
39,NCT04422535,Coronavirus Infection|Intensive Care Patients,Effects on the Qt Interval of COVID-19 Coronavirus Infection
40,NCT04362150,COVID,Long-term Impact of Infection With Novel Coronavirus (COVID-19)
41,NCT04674644,COVID-19 Pandemic,Analysing the Psychosocial Effects of COVID-19 Pandemic on Dental Professionals Using the Turkish Version of the Fear of COVID-19 and Coronavirus Anxiety Scales
42,NCT04323839,Pregnancy|Coronavirus|COVID-19,COVID-19 PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY)
43,NCT04588363,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2)|Multisystem Inflammatory Syndrome in Children (MIS-C)|Coronavirus Disease 2019 (COVID-19),COVID-19: Pediatric Research Immune Network on SARS-CoV-2 and MIS-C
44,NCT04510441,Coronavirus,Artificial Intelligence-assisted Diagnosis and Prognostication in COVID-19 Using Electrocardiograms
45,NCT04502472,Covid-19,Open-label Treatment of Severe Coronavirus Disease 2019 (COVID-19) With Convalescent Plasma
46,NCT04631172,SARS-CoV-2|Anxiety and Fear|Parents,Covid-19 Anxiety and Phobia Levels of the Parents
47,NCT04409509,Coronavirus Disease 2019 (COVID-19),Treatment With CSL312 in Adults With Coronavirus Disease 2019 (COVID-19)
48,NCT04547127,COVID-19,A Study to Evaluate Safety and Efficacy of Convalescent Methylene Blue Treated (MBT) Plasma From Donors Recovered From Coronavirus Disease 2019 (COVID-19)
49,NCT04339322,"Characteristics Diseases|Outcome, Fatal",Characteristics and Outcome of Coronavirus Disease 2019 (COVID-19) in Egypt
50,NCT04373148,Coronavirus,"Understanding Immunity to SARS-CoV-2, the Coronavirus Causing COVID-19"
